link,region,price_pcm,type,bedrooms,bathrooms
https://www.rightmove.co.uk/properties/87134184#/,East,3000,Apartment,3,2
https://www.rightmove.co.uk/properties/159855338#/,East,4150,Apartment,2,2
https://www.rightmove.co.uk/properties/159857408#/,East,3800,Apartment,2,1
https://www.rightmove.co.uk/properties/146312471#/,East,1894,Apartment,1,1
https://www.rightmove.co.uk/properties/161165081#/,East,1950,Maisonette,2,
https://www.rightmove.co.uk/properties/161165096#/,East,2687,Apartment,1,1
https://www.rightmove.co.uk/properties/160207121#/,East,1475,Flat,1,
https://www.rightmove.co.uk/properties/161164817#/,East,2795,Apartment,1,1
https://www.rightmove.co.uk/properties/149041997#/,East,1250,Studio,,1
https://www.rightmove.co.uk/properties/161164604#/,East,3850,Apartment,3,2
https://www.rightmove.co.uk/properties/161164562#/,East,2700,Flat,2,2
https://www.rightmove.co.uk/properties/161164532#/,East,3259,Duplex,2,2
https://www.rightmove.co.uk/properties/161164541#/,East,1995,Apartment,1,1
https://www.rightmove.co.uk/properties/161164517#/,East,1995,Apartment,1,1
https://www.rightmove.co.uk/properties/161164502#/,East,2700,Apartment,2,2
https://www.rightmove.co.uk/properties/161164481#/,East,3233,Apartment,2,2
https://www.rightmove.co.uk/properties/161164469#/,East,2300,Apartment,2,1
https://www.rightmove.co.uk/properties/161164325#/,East,2500,Flat,2,2
https://www.rightmove.co.uk/properties/161164463#/,East,2025,Apartment,1,1
https://www.rightmove.co.uk/properties/161164418#/,East,4338,Duplex,3,2
https://www.rightmove.co.uk/properties/161164337#/,East,2423,Apartment,1,1
https://www.rightmove.co.uk/properties/161164298#/,East,2400,Flat,2,2
https://www.rightmove.co.uk/properties/161146037#/,East,1825,Studio,,1
https://www.rightmove.co.uk/properties/160918055#/,East,2100,Flat,2,2
https://www.rightmove.co.uk/properties/161163956#/,East,2100,Flat,1,1
https://www.rightmove.co.uk/properties/160630751#/,East,2400,Flat,1,1
https://www.rightmove.co.uk/properties/87104865#/,East,2400,Maisonette,3,1
https://www.rightmove.co.uk/properties/160918301#/,East,1750,Apartment,1,1
https://www.rightmove.co.uk/properties/161046542#/,East,3000,Flat,3,3
https://www.rightmove.co.uk/properties/161155886#/,East,2750,Flat,2,2
https://www.rightmove.co.uk/properties/161155592#/,East,2250,Flat,2,1
https://www.rightmove.co.uk/properties/161155544#/,East,2100,Flat,3,1
https://www.rightmove.co.uk/properties/161155373#/,East,3055,Apartment,3,1
https://www.rightmove.co.uk/properties/161154623#/,East,1650,Flat,2,1
https://www.rightmove.co.uk/properties/161153981#/,East,1100,Flat Share,1,1
https://www.rightmove.co.uk/properties/161153738#/,East,1950,Flat,1,1
https://www.rightmove.co.uk/properties/159233063#/,East,1777,Flat,1,1
https://www.rightmove.co.uk/properties/161153456#/,East,1795,Flat,2,1
https://www.rightmove.co.uk/properties/158107418#/,East,4030,Apartment,2,
https://www.rightmove.co.uk/properties/134263217#/,East,4073,Apartment,2,
https://www.rightmove.co.uk/properties/158107712#/,East,3900,Apartment,2,
https://www.rightmove.co.uk/properties/143153693#/,East,2600,Apartment,1,
https://www.rightmove.co.uk/properties/161065277#/,East,2100,Flat,2,1
https://www.rightmove.co.uk/properties/161152229#/,East,2250,Flat,1,1
https://www.rightmove.co.uk/properties/161151650#/,East,1750,Flat,2,1
https://www.rightmove.co.uk/properties/161151647#/,East,2300,Studio,,1
https://www.rightmove.co.uk/properties/160240667#/,East,1950,Flat,,1
https://www.rightmove.co.uk/properties/141901760#/,East,3050,Flat,3,2
https://www.rightmove.co.uk/properties/161151473#/,East,2000,Flat,3,1
https://www.rightmove.co.uk/properties/161151356#/,East,3000,Flat,2,2
https://www.rightmove.co.uk/properties/159438554#/,East,1475,Flat,1,1
https://www.rightmove.co.uk/properties/161151218#/,East,1400,Apartment,1,1
https://www.rightmove.co.uk/properties/161150966#/,East,2035,Apartment,2,2
https://www.rightmove.co.uk/properties/161150939#/,East,2383,Flat,2,2
https://www.rightmove.co.uk/properties/161150930#/,East,2300,Apartment,2,2
https://www.rightmove.co.uk/properties/161150927#/,East,2200,Apartment,1,1
https://www.rightmove.co.uk/properties/161150897#/,East,1595,Apartment,1,1
https://www.rightmove.co.uk/properties/161150813#/,East,1750,Maisonette,2,1
https://www.rightmove.co.uk/properties/161150795#/,East,2002,Flat,1,1
https://www.rightmove.co.uk/properties/161150726#/,East,2253,Flat,2,2
https://www.rightmove.co.uk/properties/160824710#/,East,1475,Flat,1,1
https://www.rightmove.co.uk/properties/161150327#/,East,1650,Apartment,2,1
https://www.rightmove.co.uk/properties/160371575#/,East,2650,Apartment,2,2
https://www.rightmove.co.uk/properties/161150309#/,East,1250,Studio,,1
https://www.rightmove.co.uk/properties/123121820#/,East,2000,Apartment,1,1
https://www.rightmove.co.uk/properties/161149775#/,East,1650,Flat,1,1
https://www.rightmove.co.uk/properties/161149487#/,East,2500,Flat,1,1
https://www.rightmove.co.uk/properties/161149295#/,East,1700,Flat,2,1
https://www.rightmove.co.uk/properties/161149277#/,East,2210,Apartment,1,1
https://www.rightmove.co.uk/properties/161149022#/,East,4309,Flat,3,2
https://www.rightmove.co.uk/properties/161148638#/,East,3025,Flat,2,2
https://www.rightmove.co.uk/properties/160852607#/,East,2500,Studio,,1
https://www.rightmove.co.uk/properties/161021351#/,East,2200,Apartment,1,1
https://www.rightmove.co.uk/properties/161148542#/,East,2687,Flat,1,1
https://www.rightmove.co.uk/properties/87121989#/,East,1800,Flat,1,1
https://www.rightmove.co.uk/properties/160340180#/,East,1650,Maisonette,1,2
https://www.rightmove.co.uk/properties/161148464#/,East,2000,Flat,2,1
https://www.rightmove.co.uk/properties/161148098#/,East,3400,Apartment,2,1
https://www.rightmove.co.uk/properties/159832142#/,East,4750,Flat,6,1
https://www.rightmove.co.uk/properties/161146037#/,East,1825,Studio,,1
https://www.rightmove.co.uk/properties/161145884#/,East,2175,Flat,1,1
https://www.rightmove.co.uk/properties/159596267#/,East,3141,Apartment,1,1
https://www.rightmove.co.uk/properties/69200334#/,East,1600,Flat,1,1
https://www.rightmove.co.uk/properties/161145815#/,East,2250,Flat,1,1
https://www.rightmove.co.uk/properties/161145803#/,East,2645,Studio,,1
https://www.rightmove.co.uk/properties/161145791#/,East,3500,Flat,1,1
https://www.rightmove.co.uk/properties/161145797#/,East,2250,Flat,1,1
https://www.rightmove.co.uk/properties/161145752#/,East,2775,Flat,2,2
https://www.rightmove.co.uk/properties/161145680#/,East,3225,Flat,3,2
